timestamp,city,cell_id,latitude,longitude,throughput_mbps,latency_ms,packet_loss_pct,rsrp_dbm,users_connected
2025-12-04 15:48:00,Chennai,CHE_C2,13.15,80.3,169.87,17.12,0.265,-92.8,43
2025-12-04 15:48:30,Chennai,CHE_C2,13.15,80.3,170.47,31.15,0.364,-81.7,67
2025-12-04 15:49:00,Chennai,CHE_C2,13.15,80.3,150.85,22.67,0.157,-87.7,77
2025-12-04 15:49:30,Chennai,CHE_C2,13.15,80.3,182.39,23.9,0.167,-82.4,72
2025-12-04 15:50:00,Chennai,CHE_C2,13.15,80.3,160.7,17.43,0.275,-82.8,72
2025-12-04 15:50:30,Chennai,CHE_C2,13.15,80.3,150.74,28.65,0.227,-86.3,73
2025-12-04 15:51:00,Chennai,CHE_C2,13.15,80.3,165.27,21.57,0.216,-84.2,47
2025-12-04 15:51:30,Chennai,CHE_C2,13.15,80.3,167.49,24.51,0.249,-88.6,78
2025-12-04 15:52:00,Chennai,CHE_C2,13.15,80.3,165.68,22.22,0.409,-83.4,53
2025-12-04 15:52:30,Chennai,CHE_C2,13.15,80.3,154.6,24.49,0.175,-85.6,90
2025-12-04 16:04:00,Chennai,CHE_C2,13.15,80.3,169.87,17.12,0.265,-92.8,43
2025-12-05 00:00:00,Chennai,CHE_C2,13.15,80.3,169.87,17.12,0.265,-92.8,43
2025-12-05 00:00:30,Chennai,CHE_C2,13.15,80.3,170.47,31.15,0.364,-81.7,67
2025-12-05 00:01:00,Chennai,CHE_C2,13.15,80.3,150.85,22.67,0.157,-87.7,77
2025-12-05 00:01:30,Chennai,CHE_C2,13.15,80.3,182.39,23.9,0.167,-82.4,72
2025-12-05 00:02:00,Chennai,CHE_C2,13.15,80.3,160.7,17.43,0.275,-82.8,72
2025-12-05 00:02:30,Chennai,CHE_C2,13.15,80.3,150.74,28.65,0.227,-86.3,73
2025-12-05 19:55:00,Chennai,CHE_C2,13.15,80.3,99.87,77.12,1.465,-92.8,123
2025-12-05 19:55:30,Chennai,CHE_C2,13.15,80.3,100.47,91.15,1.564,-81.7,147
2025-12-05 19:56:00,Chennai,CHE_C2,13.15,80.3,80.85,82.67,1.357,-87.7,157
2025-12-05 19:56:30,Chennai,CHE_C2,13.15,80.3,112.39,83.9,1.367,-82.4,152
2025-12-05 19:57:00,Chennai,CHE_C2,13.15,80.3,90.7,77.43,1.475,-82.8,152
2025-12-05 19:57:30,Chennai,CHE_C2,13.15,80.3,80.74,88.65,1.427,-86.3,153
2025-12-05 19:58:00,Chennai,CHE_C2,13.15,80.3,95.27,81.57,1.416,-84.2,127
