timestamp,city,cell_id,latitude,longitude,throughput_mbps,latency_ms,packet_loss_pct,rsrp_dbm,users_connected
2025-12-04 15:48:00,Chennai,CHE_C3,13.0,80.2,112.62,65.53,0.179,-106.3,92
2025-12-04 15:48:30,Chennai,CHE_C3,13.0,80.2,120.98,63.32,0.213,-97.9,69
2025-12-04 15:49:00,Chennai,CHE_C3,13.0,80.2,126.83,56.39,0.291,-91.2,55
2025-12-04 15:49:30,Chennai,CHE_C3,13.0,80.2,109.94,60.47,0.218,-104.4,47
2025-12-04 15:50:00,Chennai,CHE_C3,13.0,80.2,115.02,59.09,0.124,-98.1,65
2025-12-04 15:50:30,Chennai,CHE_C3,13.0,80.2,106.17,61.18,0.269,-91.0,103
2025-12-04 15:51:00,Chennai,CHE_C3,13.0,80.2,128.66,58.08,0.163,-103.3,46
2025-12-04 15:51:30,Chennai,CHE_C3,13.0,80.2,113.89,68.7,0.312,-98.0,56
2025-12-04 15:52:00,Chennai,CHE_C3,13.0,80.2,99.23,68.1,0.276,-99.2,55
2025-12-04 15:52:30,Chennai,CHE_C3,13.0,80.2,99.53,59.32,0.274,-98.0,73
2025-12-04 16:04:00,Chennai,CHE_C3,13.0,80.2,162.62,25.53,0.179,-91.3,92
2025-12-05 00:00:00,Chennai,CHE_C3,13.0,80.2,162.62,25.53,0.179,-91.3,92
2025-12-05 00:00:30,Chennai,CHE_C3,13.0,80.2,170.98,23.32,0.213,-82.9,69
2025-12-05 00:01:00,Chennai,CHE_C3,13.0,80.2,176.83,16.39,0.291,-76.2,55
2025-12-05 00:01:30,Chennai,CHE_C3,13.0,80.2,159.94,20.47,0.218,-89.4,47
2025-12-05 00:02:00,Chennai,CHE_C3,13.0,80.2,165.02,19.09,0.124,-83.1,65
2025-12-05 00:02:30,Chennai,CHE_C3,13.0,80.2,156.17,21.18,0.269,-76.0,103
2025-12-05 19:55:00,Chennai,CHE_C3,13.0,80.2,92.62,85.53,1.379,-91.3,172
2025-12-05 19:55:30,Chennai,CHE_C3,13.0,80.2,100.98,83.32,1.413,-82.9,149
2025-12-05 19:56:00,Chennai,CHE_C3,13.0,80.2,106.83,76.39,1.491,-76.2,135
