timestamp,city,cell_id,latitude,longitude,throughput_mbps,latency_ms,packet_loss_pct,rsrp_dbm,users_connected
2025-12-04 15:48:00,Bangalore,BLR_C1,12.9716,77.5946,130.73,24.41,0.232,-85.7,101
2025-12-04 15:48:30,Bangalore,BLR_C1,12.9716,77.5946,174.55,26.93,0.14,-82.4,74
2025-12-04 15:49:00,Bangalore,BLR_C1,12.9716,77.5946,149.12,18.73,0.216,-87.3,91
2025-12-04 15:49:30,Bangalore,BLR_C1,12.9716,77.5946,155.72,24.22,0.323,-82.9,99
2025-12-04 15:50:00,Bangalore,BLR_C1,12.9716,77.5946,147.15,23.93,0.234,-82.1,76
2025-12-04 15:50:30,Bangalore,BLR_C1,12.9716,77.5946,159.52,19.86,0.125,-83.6,97
2025-12-04 15:51:00,Bangalore,BLR_C1,12.9716,77.5946,154.23,13.62,0.221,-84.4,108
2025-12-04 15:51:30,Bangalore,BLR_C1,12.9716,77.5946,141.59,23.45,0.33,-81.6,69
2025-12-04 15:52:00,Bangalore,BLR_C1,12.9716,77.5946,159.77,17.99,0.249,-86.2,97
2025-12-04 15:52:30,Bangalore,BLR_C1,12.9716,77.5946,158.53,24.6,0.305,-84.4,49
2025-12-04 16:04:00,Bangalore,BLR_C1,12.9716,77.5946,130.73,24.41,0.232,-85.7,101
2025-12-05 00:00:00,Bangalore,BLR_C1,12.9716,77.5946,130.73,24.41,0.232,-85.7,101
2025-12-05 00:00:30,Bangalore,BLR_C1,12.9716,77.5946,174.55,26.93,0.14,-82.4,74
2025-12-05 00:01:00,Bangalore,BLR_C1,12.9716,77.5946,149.12,18.73,0.216,-87.3,91
2025-12-05 00:01:30,Bangalore,BLR_C1,12.9716,77.5946,155.72,24.22,0.323,-82.9,99
2025-12-05 00:02:00,Bangalore,BLR_C1,12.9716,77.5946,147.15,23.93,0.234,-82.1,76
2025-12-05 00:02:30,Bangalore,BLR_C1,12.9716,77.5946,159.52,19.86,0.125,-83.6,97
2025-12-05 19:55:00,Bangalore,BLR_C1,12.9716,77.5946,60.73,84.41,1.432,-85.7,181
2025-12-05 19:55:30,Bangalore,BLR_C1,12.9716,77.5946,104.55,86.93,1.34,-82.4,154
2025-12-05 19:56:00,Bangalore,BLR_C1,12.9716,77.5946,79.12,78.73,1.416,-87.3,171
2025-12-05 19:56:30,Bangalore,BLR_C1,12.9716,77.5946,85.72,84.22,1.523,-82.9,179
2025-12-05 19:57:00,Bangalore,BLR_C1,12.9716,77.5946,77.15,83.93,1.434,-82.1,156
2025-12-05 19:57:30,Bangalore,BLR_C1,12.9716,77.5946,89.52,79.86,1.325,-83.6,177
2025-12-05 19:58:00,Bangalore,BLR_C1,12.9716,77.5946,84.23,73.62,1.421,-84.4,188
2025-12-05 19:58:30,Bangalore,BLR_C1,12.9716,77.5946,71.59,83.45,1.53,-81.6,149
2025-12-05 19:59:00,Bangalore,BLR_C1,12.9716,77.5946,89.77,77.99,1.449,-86.2,177
2025-12-05 19:59:30,Bangalore,BLR_C1,12.9716,77.5946,88.53,84.6,1.505,-84.4,129
2025-12-05 20:00:00,Bangalore,BLR_C1,12.9716,77.5946,78.42,84.74,1.524,-92.0,149
2025-12-05 20:00:30,Bangalore,BLR_C1,12.9716,77.5946,92.18,78.9,1.452,-83.7,175
2025-12-05 20:01:00,Bangalore,BLR_C1,12.9716,77.5946,80.06,79.82,1.275,-82.3,155
2025-12-05 20:01:30,Bangalore,BLR_C1,12.9716,77.5946,88.56,82.45,1.408,-82.6,149
2025-12-05 20:02:00,Bangalore,BLR_C1,12.9716,77.5946,84.67,83.51,1.503,-88.7,121
2025-12-05 20:02:30,Bangalore,BLR_C1,12.9716,77.5946,102.85,79.67,1.51,-94.3,157
2025-12-05 20:03:00,Bangalore,BLR_C1,12.9716,77.5946,73.11,78.89,1.372,-78.0,174
2025-12-05 20:03:30,Bangalore,BLR_C1,12.9716,77.5946,100.44,86.23,1.355,-86.9,141
2025-12-05 20:04:00,Bangalore,BLR_C1,12.9716,77.5946,84.24,91.19,1.361,-90.3,120
2025-12-05 20:04:30,Bangalore,BLR_C1,12.9716,77.5946,65.04,76.86,1.543,-83.7,123
2025-12-05 20:05:00,Bangalore,BLR_C1,12.9716,77.5946,93.47,91.82,1.405,-87.1,160
2025-12-05 20:05:30,Bangalore,BLR_C1,12.9716,77.5946,92.88,83.22,1.515,-83.3,178
2025-12-05 20:06:00,Bangalore,BLR_C1,12.9716,77.5946,98.14,81.81,1.541,-84.6,151
2025-12-05 20:06:30,Bangalore,BLR_C1,12.9716,77.5946,82.38,85.98,1.431,-85.1,137
2025-12-05 20:07:00,Bangalore,BLR_C1,12.9716,77.5946,85.98,91.65,1.496,-77.1,125
