timestamp,city,cell_id,latitude,longitude,throughput_mbps,latency_ms,packet_loss_pct,rsrp_dbm,users_connected
2025-12-04 15:48:00,Hyderabad,HYD_C1,17.385,78.4867,165.96,21.45,0.295,-78.9,63
2025-12-04 15:48:30,Hyderabad,HYD_C1,17.385,78.4867,165.53,22.34,0.144,-82.1,68
2025-12-04 15:49:00,Hyderabad,HYD_C1,17.385,78.4867,155.87,25.0,0.227,-88.4,101
2025-12-04 15:49:30,Hyderabad,HYD_C1,17.385,78.4867,154.08,25.69,0.369,-81.5,58
2025-12-04 15:50:00,Hyderabad,HYD_C1,17.385,78.4867,165.09,25.76,0.189,-84.4,61
2025-12-04 15:50:30,Hyderabad,HYD_C1,17.385,78.4867,163.65,23.03,0.252,-81.5,96
2025-12-04 15:51:00,Hyderabad,HYD_C1,17.385,78.4867,185.47,26.13,0.144,-86.9,55
2025-12-04 15:51:30,Hyderabad,HYD_C1,17.385,78.4867,164.28,19.23,0.313,-83.8,75
2025-12-04 15:52:00,Hyderabad,HYD_C1,17.385,78.4867,154.8,22.82,0.289,-81.5,44
2025-12-04 15:52:30,Hyderabad,HYD_C1,17.385,78.4867,158.67,25.91,0.148,-81.9,75
2025-12-04 16:04:00,Hyderabad,HYD_C1,17.385,78.4867,165.96,21.45,0.295,-78.9,63
2025-12-05 00:00:00,Hyderabad,HYD_C1,17.385,78.4867,165.96,21.45,0.295,-78.9,63
2025-12-05 00:00:30,Hyderabad,HYD_C1,17.385,78.4867,165.53,22.34,0.144,-82.1,68
2025-12-05 00:01:00,Hyderabad,HYD_C1,17.385,78.4867,155.87,25.0,0.227,-88.4,101
2025-12-05 00:01:30,Hyderabad,HYD_C1,17.385,78.4867,154.08,25.69,0.369,-81.5,58
2025-12-05 00:02:00,Hyderabad,HYD_C1,17.385,78.4867,165.09,25.76,0.189,-84.4,61
2025-12-05 00:02:30,Hyderabad,HYD_C1,17.385,78.4867,163.65,23.03,0.252,-81.5,96
2025-12-05 19:55:00,Hyderabad,HYD_C1,17.385,78.4867,95.96,81.45,1.495,-78.9,143
2025-12-05 19:55:30,Hyderabad,HYD_C1,17.385,78.4867,95.53,82.34,1.344,-82.1,148
2025-12-05 19:56:00,Hyderabad,HYD_C1,17.385,78.4867,85.87,85.0,1.427,-88.4,181
2025-12-05 19:56:30,Hyderabad,HYD_C1,17.385,78.4867,84.08,85.69,1.569,-81.5,138
2025-12-05 19:57:00,Hyderabad,HYD_C1,17.385,78.4867,95.09,85.76,1.389,-84.4,141
2025-12-05 19:57:30,Hyderabad,HYD_C1,17.385,78.4867,93.65,83.03,1.452,-81.5,176
2025-12-05 19:58:00,Hyderabad,HYD_C1,17.385,78.4867,115.47,86.13,1.344,-86.9,135
2025-12-05 19:58:30,Hyderabad,HYD_C1,17.385,78.4867,94.28,79.23,1.513,-83.8,155
2025-12-05 19:59:00,Hyderabad,HYD_C1,17.385,78.4867,84.8,82.82,1.489,-81.5,124
2025-12-05 19:59:30,Hyderabad,HYD_C1,17.385,78.4867,88.67,85.91,1.348,-81.9,155
2025-12-05 20:00:00,Hyderabad,HYD_C1,17.385,78.4867,80.07,80.78,1.467,-76.8,122
2025-12-05 20:00:30,Hyderabad,HYD_C1,17.385,78.4867,80.21,79.76,1.35,-85.8,153
2025-12-05 20:01:00,Hyderabad,HYD_C1,17.385,78.4867,107.75,89.94,1.343,-89.5,171
2025-12-05 20:01:30,Hyderabad,HYD_C1,17.385,78.4867,89.14,77.9,1.54,-83.1,168
2025-12-05 20:02:00,Hyderabad,HYD_C1,17.385,78.4867,110.47,81.87,1.508,-81.0,146
2025-12-05 20:02:30,Hyderabad,HYD_C1,17.385,78.4867,92.21,82.4,1.444,-81.9,165
2025-12-05 20:03:00,Hyderabad,HYD_C1,17.385,78.4867,83.12,79.81,1.448,-87.2,159
2025-12-05 20:03:30,Hyderabad,HYD_C1,17.385,78.4867,69.96,89.06,1.363,-88.3,121
2025-12-05 20:04:00,Hyderabad,HYD_C1,17.385,78.4867,99.89,81.5,1.502,-79.0,173
2025-12-05 20:04:30,Hyderabad,HYD_C1,17.385,78.4867,95.36,81.15,1.529,-85.3,158
2025-12-05 20:05:00,Hyderabad,HYD_C1,17.385,78.4867,89.58,82.94,1.559,-89.0,131
2025-12-05 20:05:30,Hyderabad,HYD_C1,17.385,78.4867,79.13,85.9,1.434,-84.6,137
2025-12-05 20:06:00,Hyderabad,HYD_C1,17.385,78.4867,84.64,82.78,1.525,-89.1,141
2025-12-05 20:06:30,Hyderabad,HYD_C1,17.385,78.4867,109.52,72.07,1.486,-86.0,122
2025-12-05 20:07:00,Hyderabad,HYD_C1,17.385,78.4867,84.08,80.22,1.469,-88.2,186
2025-12-05 20:07:30,Hyderabad,HYD_C1,17.385,78.4867,103.09,81.56,1.515,-81.5,139
2025-12-05 20:08:00,Hyderabad,HYD_C1,17.385,78.4867,103.29,79.17,1.341,-86.1,186
2025-12-05 20:08:30,Hyderabad,HYD_C1,17.385,78.4867,82.51,89.66,1.437,-84.1,153
2025-12-05 20:09:00,Hyderabad,HYD_C1,17.385,78.4867,109.7,86.04,1.402,-76.0,122
2025-12-05 20:09:30,Hyderabad,HYD_C1,17.385,78.4867,84.46,86.61,1.38,-84.7,132
2025-12-05 20:10:00,Hyderabad,HYD_C1,17.385,78.4867,96.83,88.51,1.423,-85.8,155
2025-12-05 20:10:30,Hyderabad,HYD_C1,17.385,78.4867,91.87,91.86,1.43,-86.6,185
2025-12-05 20:11:00,Hyderabad,HYD_C1,17.385,78.4867,89.15,83.95,1.455,-92.9,137
2025-12-05 20:11:30,Hyderabad,HYD_C1,17.385,78.4867,78.07,81.88,1.313,-76.8,171
2025-12-05 20:12:00,Hyderabad,HYD_C1,17.385,78.4867,77.08,74.89,1.538,-84.2,127
2025-12-05 20:12:30,Hyderabad,HYD_C1,17.385,78.4867,87.02,88.43,1.484,-82.1,126
2025-12-05 20:13:00,Hyderabad,HYD_C1,17.385,78.4867,80.58,84.59,1.442,-83.3,135
2025-12-05 20:13:30,Hyderabad,HYD_C1,17.385,78.4867,77.71,89.42,1.535,-82.7,134
2025-12-05 20:14:00,Hyderabad,HYD_C1,17.385,78.4867,74.23,77.62,1.438,-84.6,134
2025-12-05 20:14:30,Hyderabad,HYD_C1,17.385,78.4867,64.4,81.85,1.459,-80.7,187
2025-12-05 20:15:00,Hyderabad,HYD_C1,17.385,78.4867,78.54,83.69,1.594,-89.3,138
2025-12-05 20:15:30,Hyderabad,HYD_C1,17.385,78.4867,76.29,90.06,1.561,-82.9,130
2025-12-05 20:16:00,Hyderabad,HYD_C1,17.385,78.4867,72.34,80.95,1.331,-82.9,133
2025-12-05 20:16:30,Hyderabad,HYD_C1,17.385,78.4867,84.85,79.23,1.352,-85.3,154
2025-12-05 20:17:00,Hyderabad,HYD_C1,17.385,78.4867,83.68,88.02,1.543,-79.7,170
2025-12-05 20:17:30,Hyderabad,HYD_C1,17.385,78.4867,89.06,80.62,1.548,-72.7,147
